timestamp,market,action,direction,price,fill_price,position_pnl,capital,open_positions_count
2026-03-30T08:54:00.074112+00:00,will-palantir-(pltr)-close-above-$146-end-of-march?,entry,short,0.370000,0.367410,0.00,9500.00,1
2026-03-30T09:03:40.992585+00:00,will-the-highest-temperature-in-miami-be-between-80-81°f-on-,entry,long,0.280000,0.281960,0.00,9000.00,2
2026-03-30T09:06:06.312135+00:00,set-handicap:-molcan-(-1.5)-vs-harris-(+1.5),entry,long,0.420000,0.422940,0.00,8500.00,3
2026-03-30T09:08:30.939047+00:00,"will-mrbeast-say-""feastables""-during-his-next-video?",entry,short,0.420000,0.417060,0.00,8000.00,4
2026-03-30T09:10:54.509752+00:00,set-handicap:-molcan-(-1.5)-vs-harris-(+1.5),exit,long,0.510000,0.506430,98.70,8598.70,4
2026-03-30T09:18:09.273167+00:00,"will-mrbeast-say-""feastables""-during-his-next-video?",exit,short,0.370000,0.372590,53.31,9152.02,3
2026-03-30T09:45:03.793935+00:00,unit-fdv-above-$600m-one-day-after-launch?,entry,short,0.180000,0.178740,0.00,8652.02,3
2026-03-30T09:49:51.907667+00:00,will-sc-corinthians-paulista-win-on-2026-04-05?,entry,short,0.410000,0.407130,0.00,8152.02,4
2026-03-30T09:57:04.832438+00:00,"will-mrbeast-say-""feastables""-during-his-next-video?",entry,long,0.370000,0.372590,0.00,7652.02,5
2026-03-30T10:04:17.263724+00:00,will-the-highest-temperature-in-madrid-be-20°c-on-april-1?,entry,long,0.200000,0.201400,0.00,7152.02,6
2026-03-30T10:04:17.268945+00:00,will-the-highest-temperature-in-istanbul-be-15°c-on-march-31,entry,short,0.270000,0.268110,0.00,6652.02,7
2026-03-30T10:14:00.140176+00:00,will-palantir-(pltr)-close-above-$146-end-of-march?,exit,short,0.330000,0.332310,47.77,7199.78,7
2026-03-30T10:16:24.504332+00:00,will-o'higgins-fc-win-on-2026-04-03?,entry,short,0.460000,0.456780,0.00,6699.78,7
2026-03-30T10:18:49.044083+00:00,will-hibernian-fc-win-on-2026-04-11?,entry,long,0.290000,0.292030,0.00,6199.78,8
2026-03-30T10:18:49.047580+00:00,will-cd-unión-la-calera-win-on-2026-04-04?,entry,short,0.140000,0.139020,0.00,5699.78,9
2026-03-30T10:21:13.406121+00:00,will-fk-rostov-win-on-2026-04-05?,entry,long,0.290000,0.292030,0.00,5199.78,10
2026-03-30T10:25:59.930202+00:00,will-cd-unión-la-calera-win-on-2026-04-04?,exit,short,0.050000,0.050350,318.91,6018.69,10
2026-03-30T10:28:20.900953+00:00,will-mikael-ishak-score-the-most-goals-in-the-2025-26-uefa-e,entry,short,0.660000,0.655380,0.00,5518.69,10
2026-03-30T10:28:20.904302+00:00,will-clint-twedt-ball-be-the-democratic-nominee-for-ia-02?,entry,short,0.290000,0.287970,0.00,5018.69,11
2026-03-30T10:47:08.505677+00:00,will-hibernian-fc-win-on-2026-04-11?,exit,long,0.400000,0.397200,180.07,5698.76,11
2026-03-30T10:58:59.319964+00:00,"us-x-iran-meeting-by-april-10,-2026?",entry,long,0.160000,0.161120,0.00,5198.76,11
2026-03-30T10:58:59.323619+00:00,will-fk-rostov-win-on-2026-04-05?,exit,long,0.050000,0.049650,-414.99,5283.77,11
2026-03-30T11:01:20.529233+00:00,will-palantir-(pltr)-close-above-$146-end-of-march?,entry,short,0.330000,0.327690,0.00,4783.77,11
2026-03-30T11:03:41.170045+00:00,will-the-highest-temperature-in-istanbul-be-15°c-on-march-31,exit,short,0.360000,0.362520,-176.07,5107.70,11
2026-03-30T11:08:22.556926+00:00,will-heart-of-midlothian-fc-vs.-motherwell-fc-end-in-a-draw?,entry,short,0.240000,0.238320,0.00,4607.70,11
2026-03-30T11:10:42.881024+00:00,will-kilmarnock-fc-win-on-2026-04-11?,entry,short,0.390000,0.387270,0.00,4107.70,12
2026-03-30T11:10:42.881702+00:00,will-dundee-fc-win-on-2026-04-11?,entry,short,0.280000,0.278040,0.00,3607.70,13
2026-03-30T11:15:24.045168+00:00,mobile-legends-bang-bang:-selangor-red-giants-vs-team-vamos-,entry,long,0.150000,0.151050,0.00,3107.70,14
2026-03-30T11:15:24.049120+00:00,"will-mrbeast-say-""feastables""-during-his-next-video?",exit,long,0.450000,0.446850,99.65,3707.36,14
2026-03-30T11:22:26.577922+00:00,will-the-highest-temperature-in-san-francisco-be-between-60-,entry,short,0.190000,0.188670,0.00,3207.36,14
2026-03-30T11:29:28.495088+00:00,will-the-highest-temperature-in-new-york-city-be-59°f-or-bel,entry,long,0.270000,0.271890,0.00,2707.36,15
2026-03-30T11:31:47.994783+00:00,will-palantir-(pltr)-close-above-$146-end-of-march?,exit,short,0.380000,0.382660,-83.88,3123.48,15
2026-03-30T11:43:38.568251+00:00,cdc-issues-level-3-warning-by-december-31?,entry,short,0.330000,0.327690,0.00,2623.48,15
2026-03-30T11:43:38.572111+00:00,bank-of-england-increases-interest-rates-by-25-bps-after-jun,entry,short,0.380000,0.377340,0.00,2123.48,16
2026-03-30T11:46:00.987185+00:00,will-fk-rostov-win-on-2026-04-05?,entry,short,0.350000,0.347550,0.00,1623.48,17
2026-03-30T11:48:24.346173+00:00,cdc-issues-level-3-warning-by-december-31?,exit,short,0.330000,0.332310,-7.05,2116.43,17
2026-03-30T12:16:58.275359+00:00,will-iran-strike-ras-tanura-by-april-30?,entry,short,0.380000,0.377340,0.00,1616.43,17
2026-03-30T12:24:07.153986+00:00,will-iran-strike-ras-tanura-by-april-30?,exit,short,0.420000,0.422940,-60.42,2056.01,17
2026-03-30T12:26:30.348653+00:00,will-the-highest-temperature-in-munich-be-10°c-on-april-3?,entry,short,0.160000,0.158880,0.00,1556.01,17
2026-03-30T12:26:30.352142+00:00,will-tisza-–-respect-and-freedom-party-(tisza)-finish-with-t,entry,long,0.260000,0.261820,0.00,1056.01,18
2026-03-30T12:26:30.352371+00:00,will-the-highest-temperature-in-atlanta-be-between-84-85°f-o,entry,long,0.200000,0.201400,0.00,556.01,19
2026-03-30T12:26:30.352495+00:00,"us-x-iran-meeting-by-april-10,-2026?",exit,long,0.160000,0.158880,-6.95,1049.06,19
2026-03-30T12:31:17.183938+00:00,cdc-issues-level-3-warning-by-december-31?,entry,long,0.290000,0.292030,0.00,549.06,19
2026-03-30T12:31:17.187497+00:00,will-the-highest-temperature-in-madrid-be-20°c-on-april-1?,exit,long,0.230000,0.228390,67.01,1116.06,19
2026-03-30T12:31:17.187783+00:00,will-the-highest-temperature-in-atlanta-be-between-84-85°f-o,exit,long,0.180000,0.178740,-56.26,1559.81,18
2026-03-30T12:38:25.992836+00:00,will-merab-dvalishvili-be-the-ufc-bantamweight-champion-on-d,entry,long,0.110000,0.110770,0.00,1059.81,18
2026-03-30T12:47:59.762689+00:00,bank-of-england-increases-interest-rates-by-25-bps-after-jun,exit,short,0.390000,0.392730,-20.39,1539.42,18
2026-03-30T12:55:13.263659+00:00,platense-vs.-racing-de-chivilcoy,entry,short,0.490000,0.486570,0.00,1039.42,18
2026-03-30T12:55:13.267618+00:00,will-the-price-of-xrp-be-above-$1.40-on-march-31?,entry,short,0.170000,0.168810,0.00,539.42,19
2026-03-30T12:55:13.267909+00:00,cdc-issues-level-3-warning-by-december-31?,exit,long,0.290000,0.287970,-6.95,1032.46,19
2026-03-30T12:57:37.315157+00:00,will-liberia-win-on-2026-03-31?,entry,long,0.060000,0.060420,0.00,532.46,19
